date,blockchain,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3,x
2026-06-10,solana,Stock,__Consumer Discretionary,Consumer Discretionary,,,9978544.050818179,,,,,,,181495.95296953517,,,,,,,10937.0,,,,,,,76587.83365822134,,,,,,,0.0,,,,,,,54.97943005094509,,,,,,,912.3657356512919,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,True
2026-06-10,solana,Stock,__Industrials,Industrials,,,322859.36566666665,,,,,,,157432.9658,,,,,,,10077.0,,,,,,,,,,,,,,,,,,,,,2.0507735722696183,,,,,,,32.03923446131454,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,,True
2026-06-10,solana,Stock,__Financials,Financials,,,59782.53828000001,,,,,,,98279.15797,,,,,,,17418.0,,,,,,,,,,,,,,,,,,,,,0.608293146938121,,,,,,,3.4322274819152607,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,True
2026-06-10,solana,Stock,__Communication Services,Communication Services,,,1075964.9853290413,,,,,,,28759.332835012563,,,,,,,9911.0,,,,,,,0.0,,,,,,,,,,,,,,37.41272412338877,,,,,,,108.56270662183849,,,,,,,,,,,,,,5,,,,,,,#f0384a,,,,,True
2026-06-10,solana,Stock,Semiconductors & Semiconductor Equipment,,,,,15447782.760245988,,,,,,,535089.8527770768,,,,,,,34181.0,,,,,,,8854.242819512905,,,,,,,0.0,,,,,,,28.869511690556525,,,,,,,451.9406325223366,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,True
2026-06-10,solana,Stock,Automobiles,,,,,9343621.312762996,,,,,,,189543.27147928518,,,,,,,10760.0,,,,,,,76587.83365822134,,,,,,,0.0,,,,,,,49.29545237792386,,,,,,,868.3662930077134,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,True
2026-06-10,solana,Stock,Aerospace & Defense,,,,,322859.36566666665,,,,,,,157432.9658,,,,,,,10077.0,,,,,,,,,,,,,,,,,,,,,2.0507735722696183,,,,,,,32.03923446131454,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,True
2026-06-10,solana,Stock,Software,,,,,765988.8926239943,,,,,,,121705.77244836163,,,,,,,19688.0,,,,,,,3809.0919055460067,,,,,,,,,,,,,,6.293776188380831,,,,,,,38.90638422511145,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,True
2026-06-10,solana,Stock,Financial Services,,,,,59782.53828000001,,,,,,,98279.15797,,,,,,,17418.0,,,,,,,,,,,,,,,,,,,,,0.608293146938121,,,,,,,3.4322274819152607,,,,,,,,,,,,,,5,,,,,,,#f0384a,,,,True
2026-06-10,solana,Stock,"Technology Hardware, Storage & Peripherals",,,,,3995786.2946168086,,,,,,,38752.37908075,,,,,,,2494.0,,,,,,,3000.0,,,,,,,0.0,,,,,,,103.11073511875534,,,,,,,1602.159701129434,,,,,,,,,,,,,,6,,,,,,,#00bfa5,,,,True
