dt,blockchain,symbol,vol,oi,tr,tc,lv,lc,delta_vol,delta_oi,delta_tc,delta_lv,delta_lc,delta_vol_1d,delta_oi_1d,delta_tc_1d,delta_lv_1d,delta_lc_1d,vol_current_7d,delta_vol_last_7d,vol_current_30d,delta_vol_last_30d,vol_current_90d,delta_vol_last_90d,vol_current_q,vol_last_q,vol_lifetime,oi_current_7d,delta_oi_last_7d,oi_current_30d,delta_oi_last_30d,oi_current_90d,delta_oi_last_90d,oi_current_q,oi_last_q,oi_lifetime,tc_current_7d,delta_tc_last_7d,tc_current_30d,delta_tc_last_30d,tc_current_90d,delta_tc_last_90d,tc_current_q,tc_last_q,tc_lifetime,lv_current_7d,delta_lv_last_7d,lv_current_30d,delta_lv_last_30d,lv_current_90d,delta_lv_last_90d,lv_current_q,lv_last_q,lv_lifetime,lc_current_7d,delta_lc_last_7d,lc_current_30d,delta_lc_last_30d,lc_current_90d,delta_lc_last_90d,lc_current_q,lc_last_q,lc_lifetime,exchange
2026-06-10,solana,GMTrade,866237889.993643,214042916.13968447,4.047029005287594,44291,21159467.439812325,,-183457736.46093702,9926758.361573428,-3337,-11857926.1463404,,-0.17477231669582,0.048632888594564515,-0.07006382800033593,-0.3591417994700083,,10635612646.89104,-0.02983993800459827,55067941661.7908,2.91627795900299,80813125685.39816,17.05921502306414,74648517901.65146,10617771272.653208,14030803094.886566,165387891.23463786,0.03873433196208479,155245526.615823,,155245526.615823,,155245526.615823,,,464166,0.14001444156813816,1779072,0.8128065164648952,3192698,12.48643625334764,2986551,437894.0,612194.0,406749606.01865464,0.42249694036041213,1453454951.0385416,0.6013035984357306,4334620789.131176,10.102541146470738,3499162025.2143674,1225315058.5497851,1249601506.903791,,,,,,,,,,"<img height=""20px"" width=""20px"" src=""https://gmtrade.xyz/favicon/favicon-32x32.svg"" /> GMTrade"
2026-06-10,solana,Jupiter,279356701.46832705,89242606.69284594,3.130306384144665,19506,13500661.308694001,793.0,-6257296.45915103,1978828.841398716,-305,2816323.9087050036,1.0,-0.02190822755381848,0.022676405836650333,-0.015395487355509566,0.26359368889903306,0.0012626262626262627,2461946591.9958663,0.8075670218451126,6570884667.575687,0.1571285113366815,19367366491.430668,-0.2614346730446379,14393820706.330044,26209783519.269848,483829963193.7595,86930759.5262176,-0.16567967961358934,101136990.8690962,-0.02726570797455949,97515733.78889768,-0.3047311700718671,101046133.6123207,118187824.69695659,247289393.56097645,205948,0.795551835674243,536938,0.16544754446359347,1652360,-0.29437286745897195,1175977,2356700.0,26046227.0,160613685.24228603,0.10333362703515891,506609085.764473,0.6428780451113293,1258855198.805892,-0.33412049976333535,948059507.8267711,1933823920.2342846,35467655141.92632,11641.0,0.6883248730964467,28064.0,0.724044722938936,68307.0,-0.4106435664920924,51321.0,116271.0,1411298.0,"<img height=""20px"" width=""20px"" src=""https://blockworks-assets.imgix.net/34188/large/jup.png?1704266489"" /> Jupiter"
2026-06-10,solana,Pacifica,1147953785.9691541,70251310.86730322,16.340674242186157,775800,,,-15564611.163098574,-5516853.871839359,-20556,,,-0.013377193864283526,-0.07281229380219234,-0.025812576284978076,,,7768787471.310035,0.18302055532376132,26659759209.351303,0.2211109466034714,70011862030.86765,0.09577980654009959,55307051379.127594,67361502450.33575,151754105852.88095,75786364.59014766,-0.16472479491891837,88550889.09742907,0.026513345831758146,84189524.55813405,,86113077.66160578,72808502.02925979,72808502.02925979,6476076,0.25068554183152214,22361969,0.4490230809181565,57413698,-0.1202791733203942,43760461,68740711.0,162061324.0,,,,,,,,,,,,,,,,,,,"<img height=""20px"" width=""20px"" src=""https://app.pacifica.fi/favicon.ico"" /> Pacifica"
2026-06-10,solana,Phoenix,10698004.351817,9387678.466466002,1.1395793315708087,117275,,,-4518424.80927,458493.3972120024,7337,,,-0.2969438336311502,0.05134773147336141,0.06673761574705743,,,210738569.06737196,1.8025762480652705,472213017.2210719,4.641187520077424,604440379.905192,13.635551746760669,578896037.866796,64682837.69588697,69979262.199387,9653392.602197751,-0.18351929302052736,9191303.42833245,1.5240945327776094,7152572.940120899,,7152572.940120899,,,896810,0.1357200749708728,3312445,0.8041148116881348,6671729,4.425784420404771,5725071,1879019.0,2626584.0,,,,,,,,,,,,,,,,,,,"<img height=""20px"" width=""20px"" src=""https://www.phoenix.trade/img/phoenix-mark-orange-sm.svg"" /> Phoenix"
2026-06-10,solana,Flash Trade,7143912.465170998,1567414.7181499996,4.557767885198163,1293,132767.417779,72.0,702031.1937899981,197193.92717000004,-136,17751.023312000034,3.0,0.10897921961226985,0.1439139797528283,-0.09517144856543037,0.15433472240423154,0.043478260869565216,70940305.64260201,0.5188013213336959,216297748.98999396,-0.028478834818165877,719110541.9831479,-0.5256138914717998,526462560.106576,1444632544.4375548,19271509773.956043,1560799.3448207497,-0.4022004556515193,2156207.111937104,,2156207.111937104,,2156207.111937104,,,15018,0.3785570038553332,48937,0.030252631578947368,158268,-0.5069916673156296,115584,321698.0,1340767.0,2285437.396672,-0.05184492934232832,8450167.98092,-0.02876860657251766,29794876.767068986,-0.4062504445884249,20334979.180133995,52167656.08154499,522591538.6858701,722.0,0.4411177644710579,2143.0,0.3318831572405221,6972.0,-0.16392852860055163,4591.0,9474.0,55818.0,"<img height=""20px"" width=""20px"" src=""https://www.flash.trade/favicon_io/180x180.png"" /> Flash Trade"
2026-06-10,solana,Bullet,875071.4407600001,315129.277,2.7768649396545917,78317,,,368545.5005800001,150273.78756,7889,,,0.727594524475949,0.9115485815514376,0.11201510762764809,,,3474954.9495400004,0.28194662092036676,10218869.895866,,10218869.895866,,10218869.895866,,,110102.71802999999,0.7598226465515145,80885.46581796427,,80885.46581796427,,80885.46581796427,,,541605,0.2170461286785194,1755983,,1755983,,1755983,,,,,,,,,,,,,,,,,,,,,"<img height=""20px"" width=""20px"" src=""https://www.bullet.xyz/colored-logo.svg"" /> Bullet"
