date,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3
2026-06-09,FX,Total,,189538796.7802918,,,,,,,173512008.85879022,,,,,,,25504.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,1.0923670242014472,,,,,,,7431.728230092997,,,,,,,458.185499,,,,,,,1.0,,,,,,,#545cf8,,,,,,
2026-06-09,FX,_AUD,AUD,,54904708.104044,,,,,,,35546418.67815199,,,,,,,847.0,,,,,,,0.0,,,,,,,,,,,,,,1.5445918364144589,,,,,,,64822.55974503424,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,
2026-06-09,FX,_EUR,EUR,,14554494.739371143,,,,,,,23252186.4159517,,,,,,,9399.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.6259409106313685,,,,,,,1548.5152398522337,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,
2026-06-09,FX,_CHF,CHF,,14260072.094764456,,,,,,,21896154.98622069,,,,,,,288.0,,,,,,,0.0,,,,,,,,,,,,,,0.6512591870005651,,,,,,,49514.13921793214,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,,
2026-06-09,FX,_JPY,JPY,,1468629.1011535225,,,,,,,20298888.753906496,,,,,,,8622.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0723502216775727,,,,,,,170.33508480091888,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,
2026-06-09,FX,_CAD,CAD,,1330607.7264337349,,,,,,,19992319.48900032,,,,,,,73.0,,,,,,,0.0,,,,,,,,,,,,,,0.0665559455052641,,,,,,,18227.503101831986,,,,,,,,,,,,,,5,,,,,,,#f0384a,,,,,
2026-06-09,FX,_GBP,GBP,,24267775.84625633,,,,,,,19391603.759408098,,,,,,,1717.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,1.2514579065943678,,,,,,,14133.824022280915,,,,,,,458.185499,,,,,,,6,,,,,,,#00bfa5,,,,,
2026-06-09,FX,_NZD,NZD,,46033135.92729777,,,,,,,17447861.01373037,,,,,,,2662.0,,,,,,,0.0,,,,,,,,,,,,,,2.638325459554761,,,,,,,17292.688177046497,,,,,,,,,,,,,,7,,,,,,,#ef798a,,,,,
2026-06-09,FX,_MXN,MXN,,32692029.408417843,,,,,,,15677996.831499549,,,,,,,1889.0,,,,,,,0.0,,,,,,,,,,,,,,2.0852172480820026,,,,,,,17306.526949930038,,,,,,,,,,,,,,8,,,,,,,#4ebc90,,,,,
2026-06-09,FX,_CNH,CNH,,27343.832553,,,,,,,8578.930921,,,,,,,7.0,,,,,,,0.0,,,,,,,0.0,,,,,,,3.1873240156376825,,,,,,,3906.2617932857142,,,,,,,,,,,,,,9,,,,,,,#8066e6,,,,,
2026-06-09,FX,__Developed Markets,Developed Markets,,,156819423.53932098,,,,,,,157825433.09636968,,,,,,,23608.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,0.9936258083547636,,,,,,,6642.639085874322,,,,,,,458.185499,,,,,,,1,,,,,,,#545cf8,,,,
2026-06-09,FX,__Emerging Markets,Emerging Markets,,,32719373.240970843,,,,,,,15686575.762420548,,,,,,,1896.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0858199862429387,,,,,,,17257.053397136522,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,
2026-06-09,FX,Major,,,,,156819423.53932092,,,,,,,157825433.09636962,,,,,,,23608.0,,,,,,,458.185499,,,,,,,1.0,,,,,,,0.9936258083547636,,,,,,,6642.639085874319,,,,,,,458.185499,,,,,,,1,,,,,,,#545cf8,,,
