date,blockchain,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3,x
2026-06-09,solana,Index,_URNM,URNM,,13256.393759999997,,,,,,,33070.60635,,,,,,,5931.0,,,,,,,,,,,,,,,,,,,,,0.4008512459584823,,,,,,,2.235102640364188,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,,,True
2026-06-09,solana,Index,_QQQ,QQQ,,2356701.028762883,,,,,,,19110.49141640007,,,,,,,550.0,,,,,,,12945.310284433664,,,,,,,,,,,,,,123.31975025720325,,,,,,,4284.9109613870605,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,,True
2026-06-09,solana,Index,__Equity,Equity,,,3391442.3994493624,,,,,,,451898.602450164,,,,,,,10097.0,,,,,,,12945.310284433664,,,,,,,0.0,,,,,,,7.504874724243865,,,,,,,335.8861443447918,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,True
2026-06-09,solana,Index,__Commodity,Commodity,,,13256.393759999997,,,,,,,33070.60635,,,,,,,5931.0,,,,,,,,,,,,,,,,,,,,,0.4008512459584823,,,,,,,2.235102640364188,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,True
2026-06-09,solana,Index,Broad Market,,,,,1034741.3706864794,,,,,,,432788.1110337639,,,,,,,9547.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.390872910567902,,,,,,,108.38392905483182,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,True
2026-06-09,solana,Index,Miners,,,,,13256.393759999997,,,,,,,33070.60635,,,,,,,5931.0,,,,,,,,,,,,,,,,,,,,,0.4008512459584823,,,,,,,2.235102640364188,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,True
2026-06-09,solana,Index,Large Cap,,,,,2356701.028762883,,,,,,,19110.49141640007,,,,,,,550.0,,,,,,,12945.310284433664,,,,,,,,,,,,,,123.31975025720325,,,,,,,4284.9109613870605,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,True
2026-06-09,solana,Index,Pacifica,,,,,,350075.82156666665,,,,,,,427589.16243,,,,,,,15292.0,,,,,,,,,,,,,,,,,,,,,0.8187200526252277,,,,,,,22.892742712965383,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,True
2026-06-09,solana,Index,Flash Trade,,,,,,1566.030836,,,,,,,30802.655479,,,,,,,12.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.050840773681595605,,,,,,,130.50256966666666,,,,,,,,,,,,,,2,,,,,,,#f79009,,,True
2026-06-09,solana,Index,GMTrade,,,,,,3053056.9408066957,,,,,,,26577.39089116397,,,,,,,724.0,,,,,,,12945.310284433664,,,,,,,,,,,,,,114.87421595705723,,,,,,,4216.929476252342,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,True
2026-06-09,solana,Index,___Pacifica,Pacifica,,,,,,350075.82156666665,,,,,,,427589.16243,,,,,,,15292.0,,,,,,,,,,,,,,,,,,,,,0.8187200526252277,,,,,,,22.892742712965383,,,,,,,,,,,,,,1,,,,,,,#545cf8,,True
2026-06-09,solana,Index,___Flash Trade,Flash Trade,,,,,,1566.030836,,,,,,,30802.655479,,,,,,,12.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.050840773681595605,,,,,,,130.50256966666666,,,,,,,,,,,,,,2,,,,,,,#f79009,,True
2026-06-09,solana,Index,___GMTrade,GMTrade,,,,,,3053056.9408066957,,,,,,,26577.39089116397,,,,,,,724.0,,,,,,,12945.310284433664,,,,,,,,,,,,,,114.87421595705723,,,,,,,4216.929476252342,,,,,,,,,,,,,,3,,,,,,,#904ea6,,True
2026-06-08,solana,Index,Total,,1596412.6126051126,,,,,,,455260.2146954573,,,,,,,15607.0,,,,,,,0.0,,,,,,,0.0,,,,,,,3.5065937261243443,,,,,,,102.28824326296615,,,,,,,,,,,,,,1.0,,,,,,,#545cf8,,,,,,,True
2026-06-08,solana,Index,_SP500,SP500,,417288.4621333334,,,,,,,385268.1753,,,,,,,9454.0,,,,,,,,,,,,,,,,,,,,,1.0831116839806452,,,,,,,44.138826119455615,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,,True
2026-06-08,solana,Index,_SPY,SPY,,331725.4517656525,,,,,,,38202.503230763905,,,,,,,91.0,,,,,,,0.0,,,,,,,0.0,,,,,,,8.683343333860881,,,,,,,3645.3346347873903,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,,True
