date,chain,volumes,txs,users,new_users,returning_users,cumulative_users
2023-04-03,Ethereum,1786.917844,4,1,0,1,2
2023-04-03,Gnosis,0.0,0,0,0,0,2
2023-04-03,Optimism,0.0,0,0,0,0,2
2023-04-03,Polygon,9.420015,5,1,0,1,3
2023-04-04,Arbitrum,91.47962199999999,2,1,0,1,3
2023-04-04,Ethereum,756.7310160000001,4,1,0,1,2
2023-04-04,Gnosis,0.0,0,0,0,0,2
2023-04-04,Optimism,31.582619,2,1,0,1,2
2023-04-04,Polygon,1.043268,1,1,0,1,3
2023-04-05,Arbitrum,0.0,0,0,0,0,3
2023-04-05,Ethereum,0.0,0,0,0,0,2
2023-04-05,Gnosis,0.0,0,0,0,0,2
2023-04-05,Optimism,69.644104,1,1,0,1,2
2023-04-05,Polygon,0.747613,1,1,0,1,3
2023-04-06,Arbitrum,2526.806861,20,1,0,1,3
2023-04-06,Ethereum,4626.7832,5,1,0,1,2
2023-04-06,Gnosis,2.171099,1,1,0,1,2
2023-04-06,Optimism,94.53162400000001,2,1,0,1,2
2023-04-06,Polygon,234.91446799999997,8,1,0,1,3
2023-04-07,Arbitrum,1319.8947399999997,13,1,0,1,3
2023-04-07,Ethereum,5583.767634,8,1,0,1,2
2023-04-07,Gnosis,0.0,0,0,0,0,2
2023-04-07,Optimism,2631.183307,5,1,0,1,2
2023-04-07,Polygon,137.492683,19,1,0,1,3
2023-04-08,Arbitrum,11852.379185000002,10,1,0,1,3
2023-04-08,Ethereum,9636.502202,10,1,0,1,2
2023-04-08,Gnosis,0.0,0,0,0,0,2
2023-04-08,Optimism,198.09034300000002,2,1,0,1,2
2023-04-08,Polygon,248.958591,2,1,0,1,3
2023-04-09,Arbitrum,1326.2087929999998,4,1,0,1,3
2023-04-09,Ethereum,1491.377708,4,1,0,1,2
2023-04-09,Gnosis,0.0,0,0,0,0,2
2023-04-09,Optimism,1139.075,2,1,0,1,2
2023-04-09,Polygon,23.364553,1,1,0,1,3
2023-04-10,Arbitrum,1408.254712,9,1,0,1,3
2023-04-10,Ethereum,248.038789,3,1,0,1,2
2023-04-10,Gnosis,0.0,0,0,0,0,2
2023-04-10,Optimism,17.327305,1,1,0,1,2
2023-04-10,Polygon,187.763288,1,1,0,1,3
2023-04-11,Arbitrum,200.29220999999998,4,1,0,1,3
2023-04-11,Ethereum,6465.269955,7,1,0,1,2
2023-04-11,Gnosis,0.0,0,0,0,0,2
2023-04-11,Optimism,146.500375,3,1,0,1,2
2023-04-11,Polygon,478.272995,5,1,0,1,3
2023-04-12,Arbitrum,2043.568904,15,1,0,1,3
2023-04-12,Ethereum,11293.332599,9,1,0,1,2
2023-04-12,Gnosis,0.0,0,0,0,0,2
2023-04-12,Optimism,186.917436,1,1,0,1,2
2023-04-12,Polygon,1.082596,1,1,0,1,3
2023-04-13,Arbitrum,1805.868556,10,1,0,1,3
2023-04-13,Ethereum,6317.366284000001,2,1,0,1,2
2023-04-13,Gnosis,0.0,0,0,0,0,2
2023-04-13,Optimism,242.40892,4,1,0,1,2
2023-04-13,Polygon,354.330296,4,1,0,1,3
2023-04-14,Arbitrum,1806.7297130000004,11,1,0,1,3
2023-04-14,Ethereum,7527.818799000001,7,1,0,1,2
2023-04-14,Gnosis,0.0,0,0,0,0,2
2023-04-14,Optimism,64.617148,1,1,0,1,2
2023-04-14,Polygon,7142.833939,5,1,0,1,3
2023-04-15,Arbitrum,2218.288436,6,1,0,1,3
2023-04-15,Ethereum,1478.58844,6,1,0,1,2
2023-04-15,Gnosis,0.0,0,0,0,0,2
2023-04-15,Optimism,827.162029,3,1,0,1,2
2023-04-15,Polygon,99.05,1,1,0,1,3
2023-04-16,Arbitrum,2652.745656,10,1,0,1,3
2023-04-16,Ethereum,352.362142,4,1,0,1,2
2023-04-16,Gnosis,0.0,0,0,0,0,2
2023-04-16,Optimism,905.199025,3,1,0,1,2
2023-04-16,Polygon,0.0,0,0,0,0,3
2023-04-17,Arbitrum,2861.5442500000004,13,1,0,1,3
2023-04-17,Ethereum,55941.340897,5,2,1,1,3
2023-04-17,Gnosis,0.0,0,0,0,0,2
2023-04-17,Optimism,0.0,0,0,0,0,2
2023-04-17,Polygon,98088.285477,7,2,1,1,4
2023-04-18,Arbitrum,5954.967742,12,1,0,1,3
2023-04-18,Ethereum,1287.65,2,1,0,1,3
2023-04-18,Gnosis,0.0,0,0,0,0,2
2023-04-18,Optimism,97.030292,1,1,0,1,2
2023-04-18,Polygon,65.96815,2,1,0,1,4
2023-04-19,Arbitrum,5702.825403000001,16,1,0,1,3
2023-04-19,Ethereum,41.14971,1,1,0,1,3
2023-04-19,Gnosis,0.0,0,0,0,0,2
2023-04-19,Optimism,12.19047,2,1,0,1,2
2023-04-19,Polygon,3.268272,4,1,0,1,4
2023-04-20,Arbitrum,10593.744069,15,1,0,1,3
2023-04-20,Ethereum,12405.053304,4,1,0,1,3
2023-04-20,Gnosis,0.0,0,0,0,0,2
2023-04-20,Optimism,2234.827997,4,1,0,1,2
2023-04-20,Polygon,609.1397639999999,3,1,0,1,4
2023-04-21,Arbitrum,1635.1705319999999,10,1,0,1,3
2023-04-21,Ethereum,2412.2354950000004,6,1,0,1,3
2023-04-21,Gnosis,495.202039,1,1,0,1,2
2023-04-21,Optimism,48.929496,1,1,0,1,2
2023-04-21,Polygon,437.51752799999997,5,1,0,1,4
2023-04-22,Arbitrum,1170.875929,5,1,0,1,3
2023-04-22,Ethereum,2266.803918,5,1,0,1,3
2023-04-22,Gnosis,0.0,0,0,0,0,2
2023-04-22,Optimism,4771.134626,3,1,0,1,2
2023-04-22,Polygon,834.827536,2,1,0,1,4
2023-04-23,Arbitrum,192.76043900000002,8,1,0,1,3
2023-04-23,Ethereum,0.0,0,0,0,0,3
2023-04-23,Gnosis,0.0,0,0,0,0,2
2023-04-23,Optimism,0.0,0,0,0,0,2
2023-04-23,Polygon,8.118581,1,1,0,1,4
2023-04-24,Arbitrum,1741.011338,12,1,0,1,3
2023-04-24,Ethereum,3872.27912,3,1,0,1,3
2023-04-24,Gnosis,0.0,0,0,0,0,2
2023-04-24,Optimism,2991.852758,2,1,0,1,2
2023-04-24,Polygon,67.045168,2,1,0,1,4
2023-04-25,Arbitrum,783.086356,6,1,0,1,3
2023-04-25,Ethereum,3591.358603,3,1,0,1,3
2023-04-25,Gnosis,0.0,0,0,0,0,2
2023-04-25,Optimism,10.984307,1,1,0,1,2
2023-04-25,Polygon,1960.1982409999998,5,1,0,1,4
2023-04-26,Arbitrum,2358.503737,9,1,0,1,3
2023-04-26,Ethereum,588.146402,3,1,0,1,3
2023-04-26,Gnosis,0.0,0,0,0,0,2
2023-04-26,Optimism,211.235287,2,1,0,1,2
2023-04-26,Polygon,212.852498,3,1,0,1,4
2023-04-27,Arbitrum,10835.878605999998,7,1,0,1,3
2023-04-27,Ethereum,13582.692044,7,1,0,1,3
2023-04-27,Gnosis,0.0,0,0,0,0,2
2023-04-27,Optimism,0.0,0,0,0,0,2
2023-04-27,Polygon,103170.16142899999,9,3,1,2,5
2023-04-28,Arbitrum,3225.0167100000003,13,1,0,1,3
2023-04-28,Ethereum,3007.2632380000005,4,1,0,1,3
2023-04-28,Gnosis,0.0,0,0,0,0,2
2023-04-28,Optimism,2097.0753,2,1,0,1,2
2023-04-28,Polygon,857.542851,5,1,0,1,5
2023-04-29,Arbitrum,4416.652246999999,13,1,0,1,3
2023-04-29,Ethereum,1104.346423,2,1,0,1,3
2023-04-29,Gnosis,0.0,0,0,0,0,2
2023-04-29,Optimism,247.625,1,1,0,1,2
2023-04-29,Polygon,5189.725437,5,1,0,1,5
2023-04-30,Arbitrum,2147.485533,9,1,0,1,3
2023-04-30,Ethereum,3976.538769,3,1,0,1,3
2023-04-30,Gnosis,0.0,0,0,0,0,2
2023-04-30,Optimism,2072.028175,2,1,0,1,2
2023-04-30,Polygon,115.691574,2,1,0,1,5
2023-05-01,Arbitrum,2315.8328890000003,9,1,0,1,3
2023-05-01,Avalanche,8.551795,4,1,1,0,1
2023-05-01,Ethereum,5060.551972,5,1,0,1,3
2023-05-01,Gnosis,0.0,0,0,0,0,2
2023-05-01,Optimism,138.607084,1,1,0,1,2
2023-05-01,Polygon,0.0,0,0,0,0,5
2023-05-02,Arbitrum,6416.047853000001,15,1,0,1,3
2023-05-02,Avalanche,0.0,0,0,0,0,1
2023-05-02,Ethereum,5759.303973,3,1,0,1,3
2023-05-02,Gnosis,0.0,0,0,0,0,2
2023-05-02,Optimism,11.166275,1,1,0,1,2
2023-05-02,Polygon,4483.527241000001,8,1,0,1,5
2023-05-03,Arbitrum,2987.890902,12,1,0,1,3
2023-05-03,Avalanche,1.070556,1,1,0,1,1
2023-05-03,Ethereum,15269.660566999999,4,1,0,1,3
2023-05-03,Gnosis,0.0,0,0,0,0,2
2023-05-03,Optimism,0.0,0,0,0,0,2
2023-05-03,Polygon,3485.533538,3,1,0,1,5
2023-05-04,Arbitrum,8770.728296000001,14,1,0,1,3
2023-05-04,Avalanche,0.0,0,0,0,0,1
2023-05-04,Ethereum,26871.428660000005,6,1,0,1,3
