date,coin,open_interest_usd,avg_oracle_price
2026-05-01,xyz:SP500,497592107.64180946,7231.492842251564
2026-05-01,xyz:CL,319111331.3454348,103.770720639333
2026-05-01,xyz:XYZ100,318709560.1367365,27567.586518415566
2026-05-01,xyz:BRENTOIL,253156528.0859833,110.061097984712
2026-05-01,xyz:GOLD,160751008.26035884,4609.718624044475
2026-05-01,xyz:NVDA,75206726.56854014,199.923516330785
2026-05-01,xyz:SILVER,65088776.76330571,74.658542738013
2026-05-01,xyz:MU,64277066.86648069,521.178957609451
2026-05-01,xyz:GOOGL,45951099.279506475,386.011021542738
2026-05-01,xyz:SNDK,35389855.340516746,1085.473592772759
2026-05-01,xyz:AMZN,29641117.815102834,266.066782487839
2026-05-01,xyz:TSLA,29092411.889449384,386.164322446143
2026-05-01,xyz:INTC,18348588.53767255,95.972034746352
2026-05-01,xyz:MSTR,16910848.49500891,171.796483669215
2026-05-01,xyz:META,16131449.4765328,613.046066712995
2026-05-01,xyz:AMD,15665827.309070077,354.939916608756
2026-05-01,xyz:MSFT,15537510.608214134,411.407373175817
2026-05-01,xyz:COPPER,15527906.054814415,5.9909676164
2026-05-01,xyz:HOOD,15491299.965018025,73.831054204309
2026-05-01,xyz:CRCL,13715244.429932052,94.794603196664
2026-05-01,xyz:EUR,13208013.794357248,1.173657887422
2026-05-01,xyz:SKHX,13077709.186099153,903.023544127867
2026-05-01,xyz:AAPL,12255005.6202267,279.956761640028
2026-05-01,xyz:ORCL,11285713.508444475,167.064336344684
2026-05-01,xyz:TSM,10150083.513952676,396.48042390549
2026-05-01,xyz:NATGAS,9961168.92230624,2.783579638638
2026-05-01,xyz:JPY,8586100.268708965,156.876747741487
2026-05-01,xyz:PLTR,5360046.833402377,142.561598332175
2026-05-01,xyz:BABA,5171997.9592496315,131.848068102849
2026-05-01,xyz:EWY,5002002.344520098,160.639722029187
2026-05-01,xyz:HIMS,4596998.962867505,27.283492008339
2026-05-01,xyz:CRWV,4587693.34026171,115.80213342599
2026-05-01,xyz:PLATINUM,4090918.394236067,1987.559763724809
2026-05-01,xyz:COIN,4022643.4293629187,190.597331480195
2026-05-01,xyz:RIVN,3106189.659093412,15.525411396803
2026-05-01,xyz:NFLX,2873899.532356236,93.313908964559
2026-05-01,xyz:SMSN,2449890.0860107574,151.491535788742
2026-05-01,xyz:USAR,1744307.044246852,25.971587213343
2026-05-01,xyz:URNM,1440585.1784833495,67.516883947186
2026-05-01,xyz:HYUNDAI,1001695.0227883809,368.764183460737
2026-05-01,xyz:PALLADIUM,983250.5219796943,1528.771438498958
2026-05-01,xyz:CBRS,838572.1013293954,223.42298818624
2026-05-01,xyz:JP225,751419.6306654899,59387.32592077832
