date,coin,volume_usd,trade_count,active_traders
2026-05-01,xyz:CL,859535613.084243,227395,5055
2026-05-01,xyz:BRENTOIL,245606938.8429,86238,3203
2026-05-01,xyz:SILVER,214724973.12079,104180,3001
2026-05-01,xyz:SP500,207428371.2699,73049,3991
2026-05-01,xyz:XYZ100,187615810.0192,107255,2565
2026-05-01,xyz:SNDK,80110017.428,45604,1731
2026-05-01,xyz:GOLD,42834880.48871,14783,1510
2026-05-01,xyz:INTC,32327276.9145,23357,1212
2026-05-01,xyz:NVDA,30423630.78178,23914,1790
2026-05-01,xyz:TSLA,28591133.21952,35096,1241
2026-05-01,xyz:MU,28528696.93148,15586,878
2026-05-01,xyz:MSTR,23854635.28124,16406,786
2026-05-01,xyz:CRCL,23796366.231448,19976,912
2026-05-01,xyz:GOOGL,18768398.42715,30797,1393
2026-05-01,xyz:AAPL,17260740.04354,21414,1234
2026-05-01,xyz:AMZN,12023055.07559,15695,959
2026-05-01,xyz:ORCL,11966924.52034,4245,487
2026-05-01,xyz:JPY,10892106.3149,10004,410
2026-05-01,xyz:NATGAS,10772072.02405,10739,366
2026-05-01,xyz:COIN,9871619.20695,9792,465
2026-05-01,xyz:HOOD,9277707.254389,10114,611
2026-05-01,xyz:META,8951540.15453,19587,854
2026-05-01,xyz:PLTR,6954109.40792,5049,588
2026-05-01,xyz:AMD,6567964.2164,4622,583
2026-05-01,xyz:TSM,6541537.04714,10581,337
2026-05-01,xyz:MSFT,5288653.16466,13114,561
2026-05-01,xyz:EWY,4984012.875,6526,307
2026-05-01,xyz:EUR,4919702.62127,3124,209
2026-05-01,xyz:COPPER,3773741.757674,9724,308
2026-05-01,xyz:CBRS,3674047.5808,9530,778
2026-05-01,xyz:CRWV,3325146.8488,2533,285
2026-05-01,xyz:USAR,2987362.74729,2635,355
2026-05-01,xyz:PLATINUM,2327922.59407,3367,328
2026-05-01,xyz:RIVN,1823400.05497,1391,252
2026-05-01,xyz:SKHX,1653225.84763,7987,341
2026-05-01,xyz:BABA,1582605.17463,2304,331
2026-05-01,xyz:HIMS,1463123.77436,1783,201
2026-05-01,xyz:NFLX,1316976.666091,954,327
2026-05-01,xyz:EWJ,633542.571749,1398,149
2026-05-01,xyz:LLY,555698.258711,454,105
2026-05-01,xyz:SMSN,339458.51782,1094,125
2026-05-01,xyz:URNM,239873.46075,811,139
2026-05-01,xyz:JP225,227243.40901,2763,80
2026-05-01,xyz:BIRD,186235.29684,635,101
2026-05-01,xyz:HYUNDAI,152535.17876,725,140
2026-05-01,xyz:COST,128775.71947,2855,57
2026-05-01,xyz:PALLADIUM,128281.74505,429,79
2026-05-01,xyz:KR200,122987.36221,1103,73
2026-05-01,xyz:DKNG,13618.34162,66,19
2026-05-02,xyz:CL,49703070.60783,66563,2164
2026-05-02,xyz:XYZ100,31936874.3686,44433,1380
2026-05-02,xyz:BRENTOIL,27004770.0428,44230,1481
2026-05-02,xyz:SP500,25351709.8577,56344,1935
2026-05-02,xyz:SILVER,7979711.38305,32868,943
2026-05-02,xyz:SNDK,6881001.8759,23033,952
2026-05-02,xyz:INTC,5335565.0553,17814,610
2026-05-02,xyz:JPY,4764168.1314,8050,215
2026-05-02,xyz:EUR,3904097.03039,5012,94
2026-05-02,xyz:MSTR,3367144.68132,7563,278
2026-05-02,xyz:NVDA,3242246.07348,8104,778
2026-05-02,xyz:MU,3161516.83171,9661,515
2026-05-02,xyz:CBRS,3045821.9759,10996,752
2026-05-02,xyz:GOLD,2283618.92745,2241,415
2026-05-02,xyz:COIN,1721248.39298,2871,219
2026-05-02,xyz:TSLA,1582612.19146,7366,401
2026-05-02,xyz:AMD,1474841.51254,8418,324
2026-05-02,xyz:CRCL,1309849.78891,3367,339
2026-05-02,xyz:GOOGL,1017137.36702,4389,478
2026-05-02,xyz:PLTR,894185.04225,2303,319
2026-05-02,xyz:HOOD,861847.522245,1575,190
2026-05-02,xyz:MSFT,803617.16683,3096,268
2026-05-02,xyz:META,790464.49371,3507,378
2026-05-02,xyz:TSM,748494.29649,2456,154
2026-05-02,xyz:COPPER,677974.245873,2145,264
2026-05-02,xyz:HIMS,663779.15591,1454,284
2026-05-02,xyz:AAPL,640738.24402,2642,349
2026-05-02,xyz:NFLX,637005.965503,278,199
2026-05-02,xyz:PLATINUM,623286.23886,2274,214
2026-05-02,xyz:SKHX,559628.60165,6467,207
2026-05-02,xyz:NATGAS,512231.56736,981,136
2026-05-02,xyz:EWY,457731.17819,2020,89
2026-05-02,xyz:AMZN,408360.07271,3056,451
2026-05-02,xyz:ORCL,247200.0476,620,168
2026-05-02,xyz:URNM,226799.69319,230,80
2026-05-02,xyz:BIRD,203101.98054,1804,183
2026-05-02,xyz:CRWV,193465.0527,363,143
2026-05-02,xyz:BABA,192454.66904,762,230
2026-05-02,xyz:SMSN,111850.42836,679,98
2026-05-02,xyz:USAR,78657.88272,584,76
2026-05-02,xyz:HYUNDAI,78297.25143,279,67
2026-05-02,xyz:EWJ,48428.963883,87,55
2026-05-02,xyz:RIVN,34589.56068,118,113
2026-05-02,xyz:LLY,25053.787585,77,42
2026-05-02,xyz:JP225,22747.86957,206,49
2026-05-02,xyz:KR200,19913.49821,159,29
2026-05-02,xyz:PALLADIUM,13253.64303,27,17
2026-05-02,xyz:COST,1611.31931,19,17
2026-05-02,xyz:DKNG,522.84119,7,7
2026-05-03,xyz:CL,245025316.977753,178899,3652
2026-05-03,xyz:BRENTOIL,124688468.6595,71629,2133
2026-05-03,xyz:SILVER,87691821.17655,143956,1847
2026-05-03,xyz:SP500,51542265.007,62497,2134
2026-05-03,xyz:XYZ100,47751558.6057,56168,1335
2026-05-03,xyz:GOLD,11753950.54242,8322,659
2026-05-03,xyz:SNDK,7414219.7649,19181,845
2026-05-03,xyz:EUR,7383718.22253,8736,132
