date,coin,volume_usd,trade_count,active_traders
2026-04-03,xyz:CRCL,4191348.081588,9765,651
2026-04-03,xyz:NVDA,3236427.09171,9059,542
2026-04-03,xyz:MSTR,2598066.91398,3556,213
2026-04-03,xyz:EWY,2003524.83197,4142,249
2026-04-03,xyz:COST,1912032.79478,1630,23
2026-04-03,xyz:SNDK,1845958.84243,3432,477
2026-04-03,xyz:MU,1742903.78578,3019,438
2026-04-03,xyz:HOOD,1574312.945391,3544,164
2026-04-03,xyz:INTC,1482254.23709,2683,222
2026-04-03,xyz:COIN,1362208.17175,2655,155
2026-04-03,xyz:SKHX,1246379.30183,1845,252
2026-04-03,xyz:COPPER,1044681.0253,5248,257
2026-04-03,xyz:NATGAS,1032612.91848,2190,315
2026-04-03,xyz:GOOGL,1006655.86321,2626,248
2026-04-03,xyz:PLTR,985670.01323,2332,158
2026-04-03,xyz:MSFT,772898.06048,1062,187
2026-04-03,xyz:META,626262.07059,966,150
2026-04-03,xyz:AAPL,563679.19075,970,150
2026-04-03,xyz:CRWV,424768.22628,209,56
2026-04-03,xyz:AMZN,423840.77576,1363,160
2026-04-03,xyz:EWJ,387642.228473,466,278
2026-04-03,xyz:DKNG,356784.73339,271,269
2026-04-03,xyz:SMSN,333868.02972,1426,117
2026-04-03,xyz:HIMS,328642.70079,277,256
2026-04-03,xyz:PLATINUM,283792.42391,1543,120
2026-04-03,xyz:AMD,233004.3536,376,98
2026-04-03,xyz:ORCL,145154.44387,223,66
2026-04-03,xyz:BABA,124516.52717,753,77
2026-04-03,xyz:TSM,104580.39623,1408,65
2026-04-03,xyz:PALLADIUM,100477.3818,561,65
2026-04-03,xyz:URNM,95558.4739,395,54
2026-04-03,xyz:NFLX,70971.081709,137,80
2026-04-03,xyz:HYUNDAI,20446.72777,242,57
2026-04-03,xyz:USAR,15161.96684,138,61
2026-04-03,xyz:LLY,4942.306202,18,15
2026-04-03,xyz:RIVN,4847.10461,33,28
2026-04-04,xyz:CL,63491235.41315,81142,7934
2026-04-04,xyz:BRENTOIL,43562297.5514,36159,1941
2026-04-04,xyz:SP500,27483877.0635,42155,1818
