date,coin,volume_usd,trade_count,active_traders
2026-02-01,xyz:SILVER,223688561.91066,99668,6068
2026-02-01,xyz:GOLD,88012533.88644,57059,3044
2026-02-01,xyz:XYZ100,68260055.1113,48921,1915
2026-02-01,xyz:COPPER,19159648.371377,13232,989
2026-02-01,xyz:MSTR,6297815.70285,12044,663
2026-02-01,xyz:CL,5056077.645411,8000,352
2026-02-01,xyz:TSLA,3152690.34115,11467,459
2026-02-01,xyz:COIN,2803224.47262,8321,292
2026-02-01,xyz:NVDA,2235198.65903,11353,315
2026-02-01,xyz:JPY,1895712.5982,2629,266
2026-02-01,xyz:GOOGL,1242950.31535,4229,230
2026-02-01,xyz:HOOD,1019696.450759,6373,128
2026-02-01,xyz:EUR,1000807.63236,516,118
2026-02-01,xyz:AMZN,899125.24477,6130,141
2026-02-01,xyz:PLTR,849917.86215,2665,139
2026-02-01,xyz:PLATINUM,828606.44258,2108,188
2026-02-01,xyz:NATGAS,764001.6646,952,283
2026-02-01,xyz:MSFT,714769.48577,2066,140
2026-02-01,xyz:MU,632199.62086,2032,125
2026-02-01,xyz:CRCL,608247.18779,1952,141
2026-02-01,xyz:INTC,528472.00777,1015,84
2026-02-01,xyz:META,505022.74491,2043,111
2026-02-01,xyz:SNDK,466623.01152,1404,113
2026-02-01,xyz:AMD,455847.60137,1575,59
2026-02-01,xyz:AAPL,379786.78768,1208,104
2026-02-01,xyz:ORCL,247490.594,759,72
2026-02-01,xyz:BABA,155002.90649,336,47
2026-02-01,xyz:USAR,55550.26809,74,45
2026-02-01,xyz:NFLX,37616.345379,239,40
2026-02-01,xyz:URNM,30894.68831,138,54
2026-02-01,xyz:RIVN,15194.71837,180,44
2026-02-01,xyz:CRWV,1368.90073,11,11
2026-02-02,xyz:SILVER,1683252598.02043,333230,10141
2026-02-02,xyz:GOLD,479761915.08574,129148,5854
2026-02-02,xyz:XYZ100,351487032.7818,135904,2757
2026-02-02,xyz:COPPER,100514540.229752,34958,1838
2026-02-02,xyz:PLTR,30730703.98608,19036,964
2026-02-02,xyz:MSTR,27771305.68138,23709,1364
2026-02-02,xyz:HOOD,27724901.109251,19821,551
2026-02-02,xyz:TSLA,23519334.56774,31680,1016
2026-02-02,xyz:NVDA,21519390.91109,25508,797
2026-02-02,xyz:SNDK,18654331.96759,14648,842
2026-02-02,xyz:NATGAS,17551911.23378,3533,397
2026-02-02,xyz:MU,15864056.66318,8475,431
2026-02-02,xyz:GOOGL,13813177.01441,12766,535
2026-02-02,xyz:INTC,10710967.56909,10625,447
2026-02-02,xyz:PLATINUM,10702352.78495,15053,334
2026-02-02,xyz:COIN,9626329.7331,9523,464
2026-02-02,xyz:ORCL,8786543.10114,9686,517
2026-02-02,xyz:CL,8600350.01183,5355,321
2026-02-02,xyz:AMD,6731137.12133,4567,285
2026-02-02,xyz:AAPL,6412127.2674,6664,406
2026-02-02,xyz:META,5988735.97099,4262,309
2026-02-02,xyz:EUR,5235380.07113,3724,331
2026-02-02,xyz:AMZN,5198698.5871,8971,295
2026-02-02,xyz:CRCL,5186951.617559,8361,326
2026-02-02,xyz:MSFT,2557365.76561,3695,262
2026-02-02,xyz:JPY,2176240.5596,4849,320
2026-02-02,xyz:BABA,1760776.45852,858,95
2026-02-02,xyz:NFLX,1554267.488132,1067,140
2026-02-02,xyz:RIVN,1285061.43007,504,65
2026-02-02,xyz:USAR,710564.15176,1158,184
2026-02-02,xyz:URNM,497440.01546,597,132
2026-02-02,xyz:CRWV,278729.79219,699,46
2026-02-03,xyz:SILVER,1223418088.46155,270690,8613
2026-02-03,xyz:GOLD,398960226.57962,92149,4925
2026-02-03,xyz:XYZ100,299004442.4248,155568,2913
2026-02-03,xyz:COPPER,113726929.806216,36465,1662
2026-02-03,xyz:PLTR,24989934.51809,20536,959
2026-02-03,xyz:TSLA,22785230.69231,25379,938
2026-02-03,xyz:MSTR,19781441.13035,8196,719
2026-02-03,xyz:PLATINUM,18232882.71985,24318,472
2026-02-03,xyz:NVDA,16611678.86262,23240,954
2026-02-03,xyz:SNDK,16530139.54765,7071,839
2026-02-03,xyz:HOOD,14857499.736657,10108,472
2026-02-03,xyz:CL,14565755.053193,9787,381
2026-02-03,xyz:INTC,14451485.88694,6525,412
2026-02-03,xyz:NATGAS,12712439.75159,3116,275
2026-02-03,xyz:GOOGL,11345832.97294,11294,579
2026-02-03,xyz:AMD,10399463.92715,6112,571
2026-02-03,xyz:MU,9525641.25778,2818,374
2026-02-03,xyz:COIN,8624851.4469,8408,526
2026-02-03,xyz:AMZN,5005050.45233,5325,285
2026-02-03,xyz:CRCL,4044309.46265,3306,306
2026-02-03,xyz:META,3837641.28002,2500,261
2026-02-03,xyz:AAPL,3792579.83812,4866,322
2026-02-03,xyz:ORCL,3372753.07298,4641,296
2026-02-03,xyz:EUR,3279142.33207,2497,249
2026-02-03,xyz:MSFT,2550619.86766,2099,296
2026-02-03,xyz:BABA,2381176.48537,7321,194
2026-02-03,xyz:JPY,2293177.1302,3731,233
2026-02-03,xyz:NFLX,1592641.384776,2687,220
2026-02-03,xyz:TSM,811805.98755,788,46
2026-02-03,xyz:USAR,748344.91224,1308,208
2026-02-03,xyz:CRWV,607042.90895,1159,58
2026-02-03,xyz:RIVN,602778.2912,349,72
2026-02-03,xyz:URNM,546490.11949,1048,211
2026-02-04,xyz:SILVER,1284122926.13582,241304,7533
2026-02-04,xyz:XYZ100,401462692.1041,167016,3119
2026-02-04,xyz:GOLD,311841158.02214,74002,5008
2026-02-04,xyz:COPPER,60372971.223095,24068,1316
2026-02-04,xyz:GOOGL,41908580.54238,23175,1466
2026-02-04,xyz:NVDA,20865999.07813,20969,920
2026-02-04,xyz:AMD,20236871.48735,6406,724
2026-02-04,xyz:TSLA,19335979.04293,22512,1092
2026-02-04,xyz:PLTR,16420398.36043,10173,671
2026-02-04,xyz:SNDK,13731975.84022,6807,601
2026-02-04,xyz:MU,13202825.45834,4417,422
2026-02-04,xyz:INTC,12391613.58873,6047,348
2026-02-04,xyz:CL,10217265.9433,5659,358
2026-02-04,xyz:MSTR,9689509.0481,8936,577
2026-02-04,xyz:HOOD,9075083.4341,9894,414
2026-02-04,xyz:NATGAS,8746763.18584,2967,299
2026-02-04,xyz:PLATINUM,7959573.82252,12281,382
2026-02-04,xyz:AMZN,6767009.09852,6788,315
2026-02-04,xyz:COIN,6378564.20466,4480,350
2026-02-04,xyz:META,6221671.59778,2915,275
2026-02-04,xyz:AAPL,5503007.33215,5640,404
2026-02-04,xyz:MSFT,5450932.11641,5078,286
2026-02-04,xyz:EUR,3567964.29274,4947,228
2026-02-04,xyz:CRCL,3551783.032571,2379,242
2026-02-04,xyz:ORCL,3486390.97639,2254,214
2026-02-04,xyz:JPY,3344615.6641,3456,321
2026-02-04,xyz:BABA,2223741.9689,2449,128
2026-02-04,xyz:NFLX,2211314.561192,1454,139
2026-02-04,xyz:URNM,1154148.03126,3527,318
2026-02-04,xyz:TSM,760619.98232,1090,60
2026-02-04,xyz:RIVN,618264.2385,286,56
2026-02-04,xyz:CRWV,510978.06025,966,70
2026-02-04,xyz:USAR,470761.05415,949,174
2026-02-05,xyz:SILVER,3395844221.3934,494265,9679
2026-02-05,xyz:XYZ100,542883716.4513,270482,4446
2026-02-05,xyz:GOLD,281390132.5477,87871,3989
2026-02-05,xyz:SNDK,64736904.16481,19605,874
2026-02-05,xyz:COPPER,59645096.598964,24635,1092
2026-02-05,xyz:GOOGL,31638867.66897,22026,1155
2026-02-05,xyz:MU,31502684.95978,9407,417
2026-02-05,xyz:NVDA,23816979.06456,21649,1060
2026-02-05,xyz:MSTR,22062488.29992,24264,908
2026-02-05,xyz:TSLA,20829265.74002,22425,1085
2026-02-05,xyz:AMZN,19742008.77963,12692,913
2026-02-05,xyz:PLTR,17469872.66804,13842,540
2026-02-05,xyz:COIN,12815200.62908,8110,476
2026-02-05,xyz:HOOD,12654469.432762,10562,372
2026-02-05,xyz:INTC,11934027.55078,6939,409
2026-02-05,xyz:AMD,11675596.59363,4186,471
2026-02-05,xyz:PLATINUM,11454868.71453,15524,304
2026-02-05,xyz:AAPL,8491275.38124,4692,454
