date,coin,volume_usd,trade_count,active_traders
2025-12-01,xyz:XYZ100,235622442.4081,234657,2945
2025-12-01,xyz:NVDA,42954504.98717,50674,1577
2025-12-01,xyz:GOOGL,35294079.9009,78267,1390
2025-12-01,xyz:TSLA,19179409.51426,27726,1149
2025-12-01,xyz:PLTR,11195239.55813,21993,755
2025-12-01,xyz:COIN,10486944.92886,18219,521
2025-12-01,xyz:HOOD,9835393.78645,18711,496
2025-12-01,xyz:AMZN,9399216.04792,14496,616
2025-12-01,xyz:META,4862463.16084,9922,361
2025-12-01,xyz:MSFT,4555669.09018,7210,526
2025-12-01,xyz:AAPL,3539185.53484,6191,388
2025-12-02,xyz:XYZ100,217419871.402,228456,3123
2025-12-02,xyz:NVDA,43316772.74706,54787,1626
2025-12-02,xyz:GOOGL,25957513.21681,77581,1128
2025-12-02,xyz:TSLA,20196172.41739,23164,1125
2025-12-02,xyz:AMZN,13726959.29914,22704,734
2025-12-02,xyz:PLTR,12993515.69416,19908,773
2025-12-02,xyz:COIN,8578637.97043,16282,401
2025-12-02,xyz:HOOD,8447069.74567,20437,416
2025-12-02,xyz:MSTR,5250383.00618,7312,380
2025-12-02,xyz:META,4414611.26923,11889,351
2025-12-02,xyz:MSFT,4092186.13942,9897,506
2025-12-02,xyz:AAPL,3547467.94747,8355,378
2025-12-03,xyz:XYZ100,244712953.6976,260665,2972
2025-12-03,xyz:NVDA,37778578.3054,50181,1443
2025-12-03,xyz:TSLA,28720381.89453,34578,1498
2025-12-03,xyz:GOOGL,18687057.55352,34947,1089
2025-12-03,xyz:PLTR,11563434.20064,19245,690
2025-12-03,xyz:AMZN,9232834.42009,19383,737
2025-12-03,xyz:HOOD,9118891.17592,16141,510
2025-12-03,xyz:COIN,8913664.03139,15996,448
2025-12-03,xyz:MSTR,7279600.06257,11897,581
2025-12-03,xyz:MSFT,6935311.16211,11726,580
2025-12-03,xyz:AAPL,3648288.17337,9507,386
2025-12-03,xyz:META,3515682.65205,10091,349
2025-12-03,xyz:INTC,3509248.34335,4388,162
2025-12-04,xyz:XYZ100,345789747.0564,297169,2811
2025-12-04,xyz:NVDA,27088749.85773,41740,1325
2025-12-04,xyz:TSLA,25228021.41029,43019,1231
2025-12-04,xyz:META,14358886.17314,19319,656
2025-12-04,xyz:GOOGL,14274948.93073,33019,1024
2025-12-04,xyz:HOOD,12007858.98673,21443,435
2025-12-04,xyz:PLTR,11962717.14334,20113,661
2025-12-04,xyz:MSTR,11218023.523,10795,431
2025-12-04,xyz:AMZN,10620963.04346,13789,647
2025-12-04,xyz:COIN,10102338.23962,13641,336
2025-12-04,xyz:MSFT,6613443.04628,11908,484
2025-12-04,xyz:AAPL,4344611.20809,6767,346
2025-12-04,xyz:AMD,4040304.7569,3304,157
2025-12-04,xyz:INTC,1964477.69256,6029,263
2025-12-05,xyz:XYZ100,183413922.7732,212805,2542
2025-12-05,xyz:TSLA,24531359.33428,37264,1055
2025-12-05,xyz:NVDA,16560972.01701,34768,1234
2025-12-05,xyz:GOOGL,15168013.47061,20709,738
2025-12-05,xyz:COIN,14476147.07011,9205,316
2025-12-05,xyz:MSTR,14112356.62388,11873,443
2025-12-05,xyz:HOOD,10129745.74723,15410,426
2025-12-05,xyz:PLTR,9894571.42359,16002,711
2025-12-05,xyz:META,8027427.11363,10207,415
2025-12-05,xyz:AMZN,5756723.63093,10646,560
2025-12-05,xyz:ORCL,4595487.85387,1174,101
2025-12-05,xyz:MSFT,3589718.96459,8901,412
2025-12-05,xyz:AMD,2124610.91438,5643,247
2025-12-05,xyz:INTC,1612790.32652,6711,257
2025-12-05,xyz:AAPL,1571029.31079,4650,302
2025-12-06,xyz:XYZ100,46870125.8504,73724,2487
2025-12-06,xyz:NVDA,1817780.60525,7411,586
