date,coin,volume_usd,trade_count,active_traders
2025-11-01,xyz:XYZ100,44942140.6845,23541,1561
2025-11-02,xyz:XYZ100,32898300.2248,30465,1648
2025-11-03,xyz:XYZ100,76786337.4021,44616,2192
2025-11-04,xyz:XYZ100,76973279.4764,40437,2261
2025-11-05,xyz:XYZ100,74172105.7802,41626,2296
2025-11-06,xyz:XYZ100,72408906.0941,36280,1872
2025-11-07,xyz:XYZ100,86339593.2037,56096,2230
2025-11-08,xyz:XYZ100,17353200.4039,15265,1112
2025-11-09,xyz:XYZ100,35940774.9234,31825,1497
2025-11-10,xyz:XYZ100,48277276.4662,43457,1912
2025-11-11,xyz:XYZ100,51882733.2741,42208,1739
2025-11-12,xyz:XYZ100,48459275.6334,42101,1872
2025-11-12,xyz:NVDA,6864257.82687,6562,670
2025-11-13,xyz:XYZ100,48030537.4177,36991,1764
2025-11-13,xyz:NVDA,19568460.32239,33060,2235
2025-11-13,xyz:TSLA,8636426.02351,9966,918
2025-11-14,xyz:XYZ100,46514496.6703,35133,1707
2025-11-14,xyz:NVDA,16225208.95389,25979,1487
2025-11-14,xyz:TSLA,12360732.60875,19561,1120
2025-11-14,xyz:PLTR,3189259.91305,5201,482
2025-11-15,xyz:XYZ100,17796014.9876,30004,1221
2025-11-15,xyz:NVDA,4356653.53903,13015,726
2025-11-15,xyz:PLTR,3386002.84839,8269,479
2025-11-15,xyz:TSLA,2546475.67239,8126,537
2025-11-16,xyz:XYZ100,27875865.5892,37944,1449
2025-11-16,xyz:NVDA,5170691.70311,12628,766
2025-11-16,xyz:TSLA,2857378.22462,4820,584
2025-11-16,xyz:PLTR,2282870.71654,4471,403
2025-11-17,xyz:XYZ100,68406153.9824,81333,2016
2025-11-17,xyz:NVDA,26514630.69446,44689,1379
2025-11-17,xyz:TSLA,17230281.21842,29181,1000
2025-11-17,xyz:PLTR,9804218.61322,22909,609
2025-11-18,xyz:XYZ100,79958692.6416,98364,2176
2025-11-18,xyz:NVDA,25078642.8003,40983,1560
2025-11-18,xyz:TSLA,12114138.08942,26689,880
2025-11-18,xyz:GOOGL,10044886.34628,18819,547
2025-11-18,xyz:PLTR,9280373.67143,20828,625
2025-11-18,xyz:AMZN,3437316.87482,6216,284
2025-11-19,xyz:XYZ100,82721181.7467,132232,2341
2025-11-19,xyz:NVDA,65439621.61951,65776,3312
2025-11-19,xyz:GOOGL,32647635.74341,49119,1547
2025-11-19,xyz:TSLA,16612700.46117,28768,889
2025-11-19,xyz:PLTR,12073194.11386,19461,708
2025-11-19,xyz:AMZN,9519381.56123,24234,634
2025-11-19,xyz:MSFT,7565530.27464,16598,449
2025-11-20,xyz:XYZ100,150027651.3315,164167,3420
2025-11-20,xyz:NVDA,57587542.20623,79511,3104
2025-11-20,xyz:GOOGL,39168085.92771,42803,1536
2025-11-20,xyz:TSLA,23551242.48735,34209,1286
2025-11-20,xyz:PLTR,14256209.52868,22057,954
2025-11-20,xyz:AMZN,7932950.6568,19562,684
2025-11-20,xyz:MSFT,7256783.49132,15916,612
2025-11-20,xyz:META,6732694.68323,16611,482
2025-11-21,xyz:XYZ100,128431750.7624,172742,2832
2025-11-21,xyz:NVDA,67077939.54716,83368,2405
2025-11-21,xyz:GOOGL,34232543.00154,41908,1471
2025-11-21,xyz:PLTR,30882504.65329,44240,992
2025-11-21,xyz:TSLA,24616686.65787,37193,1164
2025-11-21,xyz:META,8279760.82138,21185,464
2025-11-21,xyz:AMZN,7902567.79755,17427,700
2025-11-21,xyz:MSFT,6174902.95564,12146,431
2025-11-21,xyz:AAPL,2507113.94475,8944,286
2025-11-22,xyz:XYZ100,34571612.192,128057,1560
2025-11-22,xyz:NVDA,6222833.40414,12078,985
2025-11-22,xyz:GOOGL,4823365.48269,12632,1008
2025-11-22,xyz:PLTR,2576150.77263,7609,691
2025-11-22,xyz:TSLA,2362644.63999,6813,518
