date,coin,open_interest_usd,avg_oracle_price
2025-11-01,xyz:XYZ100,,
2025-11-02,xyz:XYZ100,,
2025-11-03,xyz:XYZ100,,
2025-11-04,xyz:XYZ100,,
2025-11-05,xyz:XYZ100,,
2025-11-06,xyz:XYZ100,,
2025-11-07,xyz:XYZ100,,
2025-11-08,xyz:XYZ100,,
2025-11-09,xyz:XYZ100,,
2025-11-10,xyz:XYZ100,,
2025-11-11,xyz:XYZ100,,
2025-11-12,xyz:NVDA,,
2025-11-12,xyz:XYZ100,,
2025-11-13,xyz:NVDA,,
2025-11-13,xyz:TSLA,,
2025-11-13,xyz:XYZ100,,
2025-11-14,xyz:NVDA,,
2025-11-14,xyz:TSLA,,
2025-11-14,xyz:XYZ100,,
2025-11-14,xyz:PLTR,,
2025-11-15,xyz:NVDA,,
2025-11-15,xyz:TSLA,,
2025-11-15,xyz:XYZ100,,
2025-11-15,xyz:PLTR,,
2025-11-16,xyz:NVDA,,
2025-11-16,xyz:PLTR,,
2025-11-16,xyz:XYZ100,,
2025-11-16,xyz:TSLA,,
2025-11-17,xyz:PLTR,,
2025-11-17,xyz:TSLA,,
2025-11-17,xyz:NVDA,,
2025-11-17,xyz:XYZ100,,
2025-11-18,xyz:GOOGL,,
2025-11-18,xyz:NVDA,,
2025-11-18,xyz:PLTR,,
2025-11-18,xyz:AMZN,,
2025-11-18,xyz:TSLA,,
2025-11-18,xyz:XYZ100,,
2025-11-19,xyz:MSFT,,
2025-11-19,xyz:TSLA,,
2025-11-19,xyz:GOOGL,,
2025-11-19,xyz:NVDA,,
2025-11-19,xyz:XYZ100,,
2025-11-19,xyz:PLTR,,
2025-11-19,xyz:AMZN,,
2025-11-20,xyz:XYZ100,56305036.80945,25159.75
2025-11-20,xyz:NVDA,23490081.21952,194.555
2025-11-20,xyz:GOOGL,20411907.08434,302.3475
2025-11-20,xyz:TSLA,5157971.263555,423.5925
2025-11-20,xyz:PLTR,3135597.69714,172.26
2025-11-20,xyz:MSFT,2059124.207145,491.9925
2025-11-20,xyz:AMZN,1596093.971185,225.9125
2025-11-20,xyz:META,433360.049275,605.485
2025-11-21,xyz:AMZN,,
2025-11-21,xyz:MSFT,,
2025-11-21,xyz:NVDA,,
2025-11-21,xyz:PLTR,,
2025-11-21,xyz:META,,
2025-11-21,xyz:TSLA,,
2025-11-21,xyz:AAPL,,
2025-11-21,xyz:XYZ100,,
2025-11-21,xyz:GOOGL,,
2025-11-22,xyz:MSFT,,
2025-11-22,xyz:AMZN,,
2025-11-22,xyz:PLTR,,
2025-11-22,xyz:GOOGL,,
2025-11-22,xyz:AAPL,,
2025-11-22,xyz:NVDA,,
2025-11-22,xyz:TSLA,,
2025-11-22,xyz:XYZ100,,
2025-11-22,xyz:META,,
2025-11-23,xyz:TSLA,,
2025-11-23,xyz:META,,
2025-11-23,xyz:XYZ100,,
2025-11-23,xyz:AAPL,,
2025-11-23,xyz:PLTR,,
2025-11-23,xyz:GOOGL,,
2025-11-23,xyz:MSFT,,
2025-11-23,xyz:AMZN,,
2025-11-23,xyz:NVDA,,
2025-11-24,xyz:TSLA,,
2025-11-24,xyz:META,,
2025-11-24,xyz:AMZN,,
2025-11-24,xyz:NVDA,,
2025-11-24,xyz:AAPL,,
2025-11-24,xyz:PLTR,,
2025-11-24,xyz:GOOGL,,
2025-11-24,xyz:XYZ100,,
2025-11-24,xyz:MSFT,,
2025-11-25,xyz:PLTR,,
2025-11-25,xyz:MSFT,,
