date,coin,volume_usd,trade_count,active_traders
2025-10-13,xyz:XYZ100,24047820.18,9271,810
2025-10-14,xyz:XYZ100,21857346.6862,16822,1142
2025-10-15,xyz:XYZ100,20629519.5399,23329,974
2025-10-16,xyz:XYZ100,19168298.7345,25216,946
2025-10-17,xyz:XYZ100,15072187.2057,15193,890
2025-10-18,xyz:XYZ100,6244622.394,10416,597
2025-10-19,xyz:XYZ100,7839091.7881,16363,750
2025-10-20,xyz:XYZ100,10611401.0687,15806,1017
2025-10-21,xyz:XYZ100,23310245.4868,23650,1334
2025-10-22,xyz:XYZ100,36699371.8223,30760,1504
2025-10-23,xyz:XYZ100,30172561.9229,34153,1470
2025-10-24,xyz:XYZ100,27345918.0105,28193,1443
2025-10-25,xyz:XYZ100,48997606.3512,54953,2344
2025-10-26,xyz:XYZ100,47016154.6912,53864,2161
2025-10-27,xyz:XYZ100,65446643.1652,65313,2394
2025-10-28,xyz:XYZ100,80478854.3478,63517,2858
2025-10-29,xyz:XYZ100,94293417.7378,51152,2747
2025-10-30,xyz:XYZ100,116073044.0421,59943,2855
2025-10-31,xyz:XYZ100,60260347.5821,40742,2017
