date,coin,volume_usd,trade_count,active_traders
2026-01-01,xyz:XYZ100,36745868.8119,35565,2295
2026-01-01,xyz:SILVER,4798013.90387,9040,827
2026-01-01,xyz:TSLA,1937052.80369,5840,952
2026-01-01,xyz:NVDA,1286313.75775,4863,672
2026-01-01,xyz:GOLD,1034385.13808,1800,244
2026-01-01,xyz:INTC,653152.4594,2266,126
2026-01-01,xyz:PLTR,641725.65811,4927,341
2026-01-01,xyz:COIN,637335.25921,4551,83
2026-01-01,xyz:HOOD,451861.62446,1850,525
2026-01-01,xyz:AMZN,407255.98666,2487,122
2026-01-01,xyz:GOOGL,342363.09551,1864,310
2026-01-01,xyz:META,240921.72177,1894,86
2026-01-01,xyz:NFLX,208917.436128,2345,75
2026-01-01,xyz:AAPL,206034.9518,1385,73
2026-01-01,xyz:AMD,204530.6011,650,64
2026-01-01,xyz:EUR,177431.71102,533,79
2026-01-01,xyz:MSFT,158938.57212,560,85
2026-01-01,xyz:MSTR,119249.80731,1539,138
2026-01-01,xyz:ORCL,68294.80841,621,60
2026-01-01,xyz:JPY,54072.1353,116,46
2026-01-01,xyz:CRCL,46027.301505,431,59
2026-01-01,xyz:MU,9266.89716,226,43
2026-01-02,xyz:XYZ100,190845652.031,119781,3376
2026-01-02,xyz:SILVER,30135794.73717,26928,1789
2026-01-02,xyz:TSLA,15017646.11416,29301,1247
2026-01-02,xyz:NVDA,11845276.67235,21199,902
2026-01-02,xyz:GOOGL,7832176.33625,12669,727
2026-01-02,xyz:PLTR,7615442.47431,15559,582
2026-01-02,xyz:GOLD,6441768.54601,5295,686
2026-01-02,xyz:MSTR,5319687.65834,9171,352
2026-01-02,xyz:AMZN,4723751.89536,6895,351
2026-01-02,xyz:COIN,3936061.82911,5115,179
2026-01-02,xyz:HOOD,3780335.84698,6027,451
2026-01-02,xyz:META,2721952.27437,5294,179
2026-01-02,xyz:INTC,2293173.91545,4371,275
2026-01-02,xyz:AMD,2243207.18107,2844,174
2026-01-02,xyz:AAPL,2103301.23877,3134,211
2026-01-02,xyz:ORCL,1551432.30992,4817,169
2026-01-02,xyz:MSFT,1363935.87364,2309,200
2026-01-02,xyz:CRCL,1074361.904371,1152,137
2026-01-02,xyz:EUR,1026120.65576,1123,119
2026-01-02,xyz:MU,578755.73176,424,139
2026-01-02,xyz:JPY,575197.4091,922,72
2026-01-02,xyz:NFLX,490182.961607,1278,146
2026-01-03,xyz:XYZ100,37548041.1435,83767,2725
2026-01-03,xyz:AMZN,6289480.14848,7753,367
2026-01-03,xyz:SILVER,5925563.34573,5105,838
2026-01-03,xyz:META,3483791.37214,1970,192
2026-01-03,xyz:GOLD,2142885.36716,2080,409
2026-01-03,xyz:INTC,2074259.94202,1164,217
2026-01-03,xyz:TSLA,1527071.6508,8126,763
2026-01-03,xyz:NVDA,1482312.31536,7362,711
2026-01-03,xyz:GOOGL,1304392.56392,6823,525
2026-01-03,xyz:ORCL,1290633.55538,1629,123
2026-01-03,xyz:CRCL,646910.63782,923,103
2026-01-03,xyz:PLTR,549827.92949,2256,301
2026-01-03,xyz:JPY,496525.9565,2420,74
2026-01-03,xyz:AAPL,388123.50086,1346,129
2026-01-03,xyz:AMD,375324.5804,2848,79
2026-01-03,xyz:EUR,336603.29923,284,63
2026-01-03,xyz:MSFT,313704.86036,1428,104
2026-01-03,xyz:HOOD,293771.83955,1101,235
2026-01-03,xyz:COIN,250396.40037,559,78
2026-01-03,xyz:MU,187614.29472,322,117
2026-01-03,xyz:MSTR,113365.21931,698,107
2026-01-03,xyz:NFLX,38902.502027,88,41
2026-01-04,xyz:XYZ100,37581944.5489,193087,2907
2026-01-04,xyz:SILVER,5407094.94288,7363,901
2026-01-04,xyz:PLTR,3033244.92856,11955,599
2026-01-04,xyz:GOLD,2590157.56668,2950,418
2026-01-04,xyz:MSTR,2173152.37992,3510,253
2026-01-04,xyz:TSLA,1934910.22541,7888,1011
2026-01-04,xyz:NVDA,1234194.40934,8290,819
2026-01-04,xyz:JPY,1013586.7878,406,82
2026-01-04,xyz:GOOGL,961206.04177,4000,472
2026-01-04,xyz:AMZN,805136.94056,2526,211
2026-01-04,xyz:EUR,760941.32452,238,81
2026-01-04,xyz:AMD,634133.08995,5130,71
2026-01-04,xyz:META,513928.22147,2195,185
2026-01-04,xyz:COIN,479819.75372,1752,91
2026-01-04,xyz:INTC,327946.62439,2247,90
2026-01-04,xyz:HOOD,283409.39108,1265,217
2026-01-04,xyz:CRCL,130575.62989,272,85
2026-01-04,xyz:MSFT,123571.58744,635,80
2026-01-04,xyz:NFLX,96424.698876,254,50
2026-01-04,xyz:AAPL,90519.41912,751,72
2026-01-04,xyz:ORCL,87413.44963,704,68
2026-01-04,xyz:MU,7366.48765,35,27
2026-01-05,xyz:XYZ100,176035627.689,136653,3383
2026-01-05,xyz:SILVER,25671591.23135,25957,2002
2026-01-05,xyz:TSLA,12184404.18514,25560,1187
2026-01-05,xyz:GOLD,11037836.18937,9754,1078
2026-01-05,xyz:PLTR,9740001.82499,23046,698
2026-01-05,xyz:NVDA,9457721.50551,23871,972
2026-01-05,xyz:HOOD,9281044.71747,8967,448
2026-01-05,xyz:MSTR,9183356.62839,12524,375
2026-01-05,xyz:GOOGL,7951814.09676,13145,621
2026-01-05,xyz:COIN,6894434.68347,10285,327
2026-01-05,xyz:AMZN,6181140.95044,6856,329
2026-01-05,xyz:META,3570362.66404,5850,201
2026-01-05,xyz:ORCL,3091218.64689,4284,158
2026-01-05,xyz:AMD,2653550.79003,5452,200
2026-01-05,xyz:INTC,1519125.91899,3214,226
2026-01-05,xyz:AAPL,1448364.0144,2716,177
2026-01-05,xyz:MSFT,1311983.17505,2026,150
2026-01-05,xyz:EUR,1257554.53688,756,168
2026-01-05,xyz:CRCL,1004982.92677,1720,95
2026-01-05,xyz:NFLX,734443.210768,576,95
2026-01-05,xyz:MU,615722.45594,706,94
2026-01-05,xyz:JPY,232642.334,543,96
2026-01-06,xyz:XYZ100,149388059.7028,132749,3426
2026-01-06,xyz:SILVER,49561767.0221,30260,2455
2026-01-06,xyz:GOLD,16784591.78605,12015,1059
2026-01-06,xyz:TSLA,14289119.27831,45522,1322
2026-01-06,xyz:GOOGL,11224276.61191,11006,465
2026-01-06,xyz:MSTR,10491438.23006,15040,640
2026-01-06,xyz:NVDA,9848692.81972,20168,948
2026-01-06,xyz:AMZN,7043711.35682,5441,340
2026-01-06,xyz:COIN,4023882.93053,3785,276
2026-01-06,xyz:HOOD,2663495.18461,4752,479
2026-01-06,xyz:PLTR,2541371.07007,5156,384
2026-01-06,xyz:AMD,2174857.77504,4014,162
2026-01-06,xyz:INTC,1753785.54176,4758,211
2026-01-06,xyz:AAPL,1619024.62665,2348,224
2026-01-06,xyz:META,1536706.99536,1968,158
2026-01-06,xyz:EUR,1428867.11333,761,141
2026-01-06,xyz:MSFT,1258472.43834,1679,146
2026-01-06,xyz:ORCL,1116824.59961,2466,155
2026-01-06,xyz:MU,1097318.41423,3398,200
2026-01-06,xyz:JPY,783627.9268,636,76
2026-01-06,xyz:CL,636704.356672,471,83
2026-01-06,xyz:CRCL,613235.735558,967,88
2026-01-06,xyz:NFLX,437881.410021,662,97
2026-01-07,xyz:XYZ100,151517336.9902,124594,3546
2026-01-07,xyz:SILVER,56972883.76287,45930,2447
2026-01-07,xyz:MSTR,13367030.15952,23403,766
2026-01-07,xyz:NVDA,12022599.58054,19062,945
2026-01-07,xyz:TSLA,8938427.51209,20069,966
