date,coin,open_interest_usd,avg_oracle_price
2026-02-01,xyz:SILVER,193975060.80768922,84.66579902439
2026-02-01,xyz:XYZ100,127865192.36306225,25271.526829268292
2026-02-01,xyz:GOLD,108785841.32645123,4840.316195121951
2026-02-01,xyz:COPPER,104433234.63839422,5.859521365854
2026-02-01,xyz:MU,22085098.78120353,413.1984
2026-02-01,xyz:TSLA,20371399.911736995,423.898185365854
2026-02-01,xyz:GOOGL,20158315.034211375,334.374448780488
2026-02-01,xyz:NVDA,17464918.538887687,187.912468292683
2026-02-01,xyz:INTC,16063210.952190362,45.891487804878
2026-02-01,xyz:MSTR,12710374.001489112,138.418351219512
2026-02-01,xyz:EUR,7275155.994951746,1.182697756098
2026-02-01,xyz:CL,7205447.275869704,64.711732682927
2026-02-01,xyz:SNDK,6830571.537307766,581.975375609756
2026-02-01,xyz:AMZN,5118691.951988039,236.847863414634
2026-02-01,xyz:PLTR,4315874.468728975,145.195229268293
2026-02-01,xyz:MSFT,4003461.590289483,425.517824390244
2026-02-01,xyz:AMD,3773755.761161561,233.99243902439
2026-02-01,xyz:COIN,3651767.676245951,186.930165853659
2026-02-01,xyz:META,3439006.4554577367,708.11287804878
2026-02-01,xyz:HOOD,3311350.393329971,97.623482926829
2026-02-01,xyz:JPY,3047313.323668683,154.540331707317
2026-02-01,xyz:AAPL,2599804.890910966,257.541531707317
2026-02-01,xyz:ORCL,2127016.940156078,162.3568
2026-02-01,xyz:PLATINUM,1934824.1311245658,2172.045268292683
2026-02-01,xyz:CRCL,1791134.8581414614,61.859219512195
2026-02-01,xyz:NATGAS,1405716.988607883,4.302711902439
2026-02-01,xyz:NFLX,1306754.2048832858,82.89128097561
2026-02-01,xyz:BABA,1239183.0584310633,169.042136585366
2026-02-01,xyz:URNM,457341.8840179317,76.015470243902
2026-02-01,xyz:RIVN,260013.4230430634,14.612914146341
2026-02-01,xyz:USAR,166417.11745221465,22.352703414634
2026-02-01,xyz:CRWV,40600.20261268293,92.600019512195
2026-02-02,xyz:SILVER,250668727.8838605,79.846072124756
2026-02-02,xyz:XYZ100,133852838.23497465,25467.20857699805
2026-02-02,xyz:GOLD,127045863.63490975,4680.512962962963
2026-02-02,xyz:COPPER,84745805.59126167,5.789426803119
2026-02-02,xyz:MU,22227411.69032,419.478781676413
2026-02-02,xyz:GOOGL,18503715.462239493,337.5661208577
2026-02-02,xyz:TSLA,18365111.687683802,422.153460038986
2026-02-02,xyz:NVDA,18084842.250630196,187.538196881092
2026-02-02,xyz:INTC,14378396.677599804,46.705205653021
2026-02-02,xyz:MSTR,14318083.679054657,139.913615984405
2026-02-02,xyz:SNDK,9206129.718634814,612.936637426901
2026-02-02,xyz:EUR,6911525.10193382,1.183232066277
2026-02-02,xyz:CL,6468568.18034633,62.170507797271
2026-02-02,xyz:AMZN,5288826.8779631965,239.423499025341
2026-02-02,xyz:PLTR,4789106.186777739,147.608255360624
2026-02-02,xyz:COIN,3993181.578994269,186.760886939571
2026-02-02,xyz:MSFT,3752682.0210980116,425.086354775828
2026-02-02,xyz:AMD,3666996.1310884017,237.999902534113
2026-02-02,xyz:HOOD,3659065.264843626,93.625315789474
2026-02-02,xyz:META,3517634.98989577,705.368976608187
2026-02-02,xyz:AAPL,3404937.178414308,260.97477582846
2026-02-02,xyz:JPY,3083495.80740078,155.188791423002
2026-02-02,xyz:CRCL,2580655.6938661966,60.864444444444
2026-02-02,xyz:ORCL,2318873.1480510915,161.843499025341
2026-02-02,xyz:PLATINUM,2128134.4273065496,2096.440058479532
2026-02-02,xyz:NFLX,1196528.5330780917,83.038632553606
2026-02-02,xyz:NATGAS,1087488.4369721247,3.518122807018
2026-02-02,xyz:BABA,1045774.869406998,168.075545808967
2026-02-02,xyz:URNM,467778.25812758284,72.560252436647
2026-02-02,xyz:RIVN,237819.4664340351,14.531947368421
2026-02-02,xyz:USAR,123296.76138506822,22.335924951267
2026-02-02,xyz:CRWV,50020.72571331384,90.163391812865
2026-02-03,xyz:SILVER,229018353.53221896,85.337671539961
2026-02-03,xyz:XYZ100,141342780.1847493,25629.859649122805
2026-02-03,xyz:GOLD,123553000.09293005,4894.603703703704
2026-02-03,xyz:COPPER,66896581.06510351,6.017549122807
2026-02-03,xyz:MU,23919060.219268285,433.487378167641
2026-02-03,xyz:NVDA,21863441.960942533,183.834571150097
2026-02-03,xyz:TSLA,17543321.736606844,423.971023391813
2026-02-03,xyz:GOOGL,16512029.411365028,345.551296296296
2026-02-03,xyz:INTC,15338581.686336705,49.810642300195
2026-02-03,xyz:SNDK,14813351.654642554,682.646306042885
2026-02-03,xyz:MSTR,10036229.013636004,137.933411306043
2026-02-03,xyz:EUR,7155080.384838888,1.180797465887
2026-02-03,xyz:CL,6382015.36240938,62.561500974659
2026-02-03,xyz:AMZN,5573685.779820487,241.86007797271
2026-02-03,xyz:AMD,5022155.101615419,245.892748538012
2026-02-03,xyz:PLTR,4936342.375760429,160.716734892788
2026-02-03,xyz:MSFT,3809027.8977172906,419.492300194932
2026-02-03,xyz:META,3779597.23658193,702.265867446394
2026-02-03,xyz:JPY,2997991.4843179337,155.663888888889
2026-02-03,xyz:HOOD,2931869.839016047,89.321532163743
2026-02-03,xyz:COIN,2790413.767668616,185.194366471735
2026-02-03,xyz:PLATINUM,2722275.328770838,2218.480116959064
2026-02-03,xyz:AAPL,2551034.374503158,268.758918128655
2026-02-03,xyz:CRCL,2539015.5836824914,58.18085380117
2026-02-03,xyz:ORCL,2347968.1198072513,158.115964912281
2026-02-03,xyz:BABA,1857391.92251345,164.156003898635
2026-02-03,xyz:NFLX,1217107.9073955808,81.810694931774
2026-02-03,xyz:NATGAS,1152210.8773823588,3.283460136452
2026-02-03,xyz:URNM,580658.2491566667,74.998857699805
2026-02-03,xyz:RIVN,273723.78119522415,14.42107797271
2026-02-03,xyz:CRWV,180733.3051089279,90.038489278752
2026-02-03,xyz:USAR,126299.68087134503,24.010996101365
2026-02-03,xyz:TSM,60309.93166592593,340.351676413255
