date,coin,open_interest_usd,avg_oracle_price
2026-04-01,xyz:BRENTOIL,472588940.6187535,102.285409722222
2026-04-01,xyz:CL,362839570.0317977,100.123671527778
2026-04-01,xyz:XYZ100,237058736.29141194,23946.678472222222
2026-04-01,xyz:SP500,217104555.72224835,6566.643263888889
2026-04-01,xyz:GOLD,196926813.91238976,4735.825
2026-04-01,xyz:SILVER,121685957.86863445,74.944508333333
2026-04-01,xyz:NVDA,56339503.14466049,175.873006944444
2026-04-01,xyz:MU,52899141.83275714,355.807722222222
2026-04-01,xyz:GOOGL,25128208.327574864,293.148527777778
2026-04-01,xyz:SNDK,23229098.287212264,673.498951388889
2026-04-01,xyz:TSLA,22296219.240251556,378.235152777778
2026-04-01,xyz:NATGAS,17271461.572486278,2.84669875
2026-04-01,xyz:CRCL,16745170.3066167,95.318038194444
2026-04-01,xyz:EWY,16726352.518881332,125.403916666667
2026-04-01,xyz:EUR,14629558.198262835,1.158934861111
2026-04-01,xyz:SKHX,13910488.732177652,594.145208333333
2026-04-01,xyz:COPPER,11049715.42862041,5.628464166667
2026-04-01,xyz:MSFT,9503500.073300138,372.4696875
2026-04-01,xyz:MSTR,8445121.09661082,124.935680555556
2026-04-01,xyz:HOOD,8068390.552475864,70.309553472222
2026-04-01,xyz:TSM,7961640.681880167,342.741659722222
2026-04-01,xyz:JPY,7731932.79449375,158.657145833333
2026-04-01,xyz:AAPL,6008203.35942175,254.602256944444
2026-04-01,xyz:COIN,5223820.498907236,175.661354166667
2026-04-01,xyz:META,4937467.560241611,578.442243055556
2026-04-01,xyz:AMZN,4769907.247434556,210.312652777778
2026-04-01,xyz:PLTR,3335986.7162308055,147.411486111111
2026-04-01,xyz:NFLX,3178835.479285439,95.80509375
2026-04-01,xyz:ORCL,2792997.4862096943,147.355069444444
2026-04-01,xyz:PLATINUM,2673615.534066403,1970.133819444444
2026-04-01,xyz:INTC,2524980.3583273888,46.051463888889
2026-04-01,xyz:BABA,1889468.2967480693,124.737034722222
2026-04-01,xyz:CRWV,1522208.247751486,78.471092361111
2026-04-01,xyz:SMSN,1519235.421202236,124.823555555556
2026-04-01,xyz:AMD,1221011.5844916112,207.764173611111
2026-04-01,xyz:EWJ,967863.8979274889,86.262898611111
2026-04-01,xyz:URNM,684153.62524725,64.232478472222
2026-04-01,xyz:LLY,548376.5404398195,935.656041666667
2026-04-01,xyz:RIVN,315202.4618812222,15.144261111111
2026-04-01,xyz:PALLADIUM,306825.2440932778,1484.049722222222
2026-04-01,xyz:HYUNDAI,306675.4267084306,323.204916666667
2026-04-01,xyz:USAR,283949.2072027639,15.271225
2026-04-01,xyz:HIMS,123696.035978875,20.5833
2026-04-01,xyz:COST,20267.61919691389,995.400763888889
2026-04-01,xyz:DKNG,3497.578655263889,21.986179166667
2026-04-02,xyz:BRENTOIL,528214043.903611,107.537797081306
2026-04-02,xyz:CL,472901736.6347575,108.271685198054
2026-04-02,xyz:SP500,258049494.01727727,6530.065253648367
2026-04-02,xyz:XYZ100,234001606.71204713,23799.08061153579
2026-04-02,xyz:GOLD,173936223.92200363,4658.518832522585
2026-04-02,xyz:SILVER,105409124.76953787,72.086801945796
2026-04-02,xyz:NVDA,57762955.04393147,173.948589298124
2026-04-02,xyz:MU,46195415.40393611,357.902050034746
2026-04-02,xyz:TSLA,24885246.872728463,368.579742876998
2026-04-02,xyz:GOOGL,24530788.494258653,293.242182070883
2026-04-02,xyz:SNDK,22210913.611838344,677.121931897151
2026-04-02,xyz:EWY,18560863.036042683,120.838415566366
2026-04-02,xyz:NATGAS,17991568.89275419,2.831146560111
2026-04-02,xyz:EUR,16102299.997743336,1.153860389159
2026-04-02,xyz:CRCL,15060138.86521938,89.112147324531
2026-04-02,xyz:SKHX,12375402.24069255,555.820361362057
2026-04-02,xyz:COPPER,10135692.665989297,5.588222654621
2026-04-02,xyz:MSFT,9281804.8137508,368.105503822099
2026-04-02,xyz:TSM,8323761.439966783,334.130500347464
2026-04-02,xyz:HOOD,8104969.4923923435,68.179102849201
2026-04-02,xyz:MSTR,8061770.34331262,119.988874218207
2026-04-02,xyz:AAPL,5676583.904759569,254.110486448923
2026-04-02,xyz:JPY,5288793.456299375,159.464065323141
2026-04-02,xyz:META,4903074.020800514,569.899124391939
2026-04-02,xyz:COIN,4670556.374781835,169.264301598332
2026-04-02,xyz:AMZN,4571582.689195136,208.001952744962
2026-04-02,xyz:NFLX,3657469.5481490325,96.037946490618
