date,coin,open_interest_usd,avg_oracle_price
2025-12-01,xyz:XYZ100,,
2025-12-01,xyz:COIN,,
2025-12-01,xyz:TSLA,,
2025-12-01,xyz:AAPL,,
2025-12-01,xyz:HOOD,,
2025-12-01,xyz:GOOGL,,
2025-12-01,xyz:PLTR,,
2025-12-01,xyz:META,,
2025-12-01,xyz:AMZN,,
2025-12-01,xyz:NVDA,,
2025-12-01,xyz:MSFT,,
2025-12-02,xyz:GOOGL,,
2025-12-02,xyz:HOOD,,
2025-12-02,xyz:PLTR,,
2025-12-02,xyz:MSFT,,
2025-12-02,xyz:AAPL,,
2025-12-02,xyz:TSLA,,
2025-12-02,xyz:XYZ100,,
2025-12-02,xyz:AMZN,,
2025-12-02,xyz:NVDA,,
2025-12-02,xyz:COIN,,
2025-12-02,xyz:META,,
2025-12-02,xyz:MSTR,,
2025-12-03,xyz:AMZN,,
2025-12-03,xyz:MSTR,,
2025-12-03,xyz:MSFT,,
2025-12-03,xyz:HOOD,,
2025-12-03,xyz:NVDA,,
2025-12-03,xyz:AAPL,,
2025-12-03,xyz:PLTR,,
2025-12-03,xyz:INTC,,
2025-12-03,xyz:META,,
2025-12-03,xyz:COIN,,
2025-12-03,xyz:TSLA,,
2025-12-03,xyz:XYZ100,,
2025-12-03,xyz:GOOGL,,
2025-12-04,xyz:MSTR,,
2025-12-04,xyz:AMD,,
2025-12-04,xyz:HOOD,,
2025-12-04,xyz:AMZN,,
2025-12-04,xyz:GOOGL,,
2025-12-04,xyz:INTC,,
2025-12-04,xyz:COIN,,
2025-12-04,xyz:XYZ100,,
2025-12-04,xyz:AAPL,,
2025-12-04,xyz:PLTR,,
2025-12-04,xyz:META,,
2025-12-04,xyz:NVDA,,
2025-12-04,xyz:TSLA,,
2025-12-04,xyz:MSFT,,
2025-12-05,xyz:ORCL,,
2025-12-05,xyz:TSLA,,
2025-12-05,xyz:XYZ100,,
2025-12-05,xyz:INTC,,
2025-12-05,xyz:NVDA,,
2025-12-05,xyz:META,,
2025-12-05,xyz:AAPL,,
2025-12-05,xyz:AMZN,,
2025-12-05,xyz:HOOD,,
2025-12-05,xyz:PLTR,,
2025-12-05,xyz:AMD,,
2025-12-05,xyz:GOOGL,,
2025-12-05,xyz:COIN,,
2025-12-05,xyz:MSFT,,
2025-12-05,xyz:MSTR,,
2025-12-06,xyz:GOOGL,,
2025-12-06,xyz:AMZN,,
2025-12-06,xyz:MSTR,,
2025-12-06,xyz:ORCL,,
2025-12-06,xyz:PLTR,,
2025-12-06,xyz:XYZ100,,
2025-12-06,xyz:TSLA,,
2025-12-06,xyz:META,,
2025-12-06,xyz:AAPL,,
2025-12-06,xyz:HOOD,,
2025-12-06,xyz:AMD,,
2025-12-06,xyz:INTC,,
2025-12-06,xyz:MSFT,,
2025-12-06,xyz:NVDA,,
2025-12-06,xyz:COIN,,
2025-12-07,xyz:AMD,,
2025-12-07,xyz:AMZN,,
2025-12-07,xyz:INTC,,
2025-12-07,xyz:META,,
2025-12-07,xyz:ORCL,,
2025-12-07,xyz:COIN,,
2025-12-07,xyz:GOOGL,,
2025-12-07,xyz:HOOD,,
2025-12-07,xyz:PLTR,,
2025-12-07,xyz:MSTR,,
2025-12-07,xyz:AAPL,,
2025-12-07,xyz:MSFT,,
2025-12-07,xyz:NVDA,,
2025-12-07,xyz:XYZ100,,
2025-12-07,xyz:TSLA,,
2025-12-08,xyz:NFLX,,
2025-12-08,xyz:MSTR,,
2025-12-08,xyz:AAPL,,
2025-12-08,xyz:MSFT,,
2025-12-08,xyz:AMZN,,
2025-12-08,xyz:COIN,,
2025-12-08,xyz:META,,
2025-12-08,xyz:NVDA,,
2025-12-08,xyz:HOOD,,
2025-12-08,xyz:ORCL,,
2025-12-08,xyz:PLTR,,
2025-12-08,xyz:TSLA,,
2025-12-08,xyz:INTC,,
2025-12-08,xyz:XYZ100,,
2025-12-08,xyz:AMD,,
2025-12-08,xyz:GOOGL,,
2025-12-09,xyz:ORCL,,
2025-12-09,xyz:PLTR,,
2025-12-09,xyz:MSFT,,
2025-12-09,xyz:AAPL,,
2025-12-09,xyz:INTC,,
2025-12-09,xyz:GOOGL,,
2025-12-09,xyz:AMZN,,
2025-12-09,xyz:TSLA,,
2025-12-09,xyz:AMD,,
2025-12-09,xyz:COIN,,
2025-12-09,xyz:MSTR,,
2025-12-09,xyz:XYZ100,,
2025-12-09,xyz:NFLX,,
2025-12-09,xyz:META,,
2025-12-09,xyz:HOOD,,
2025-12-09,xyz:NVDA,,
2025-12-10,xyz:AMZN,,
2025-12-10,xyz:XYZ100,,
2025-12-10,xyz:HOOD,,
2025-12-10,xyz:INTC,,
2025-12-10,xyz:TSLA,,
2025-12-10,xyz:MSTR,,
2025-12-10,xyz:NFLX,,
2025-12-10,xyz:META,,
2025-12-10,xyz:NVDA,,
2025-12-10,xyz:MSFT,,
2025-12-10,xyz:ORCL,,
2025-12-10,xyz:PLTR,,
2025-12-10,xyz:AMD,,
2025-12-10,xyz:AAPL,,
2025-12-10,xyz:COIN,,
2025-12-10,xyz:GOOGL,,
2025-12-11,xyz:HOOD,,
2025-12-11,xyz:XYZ100,,
2025-12-11,xyz:TSLA,,
2025-12-11,xyz:MSTR,,
2025-12-11,xyz:GOOGL,,
2025-12-11,xyz:META,,
2025-12-11,xyz:COIN,,
2025-12-11,xyz:AMZN,,
2025-12-11,xyz:PLTR,,
2025-12-11,xyz:ORCL,,
2025-12-11,xyz:NVDA,,
2025-12-11,xyz:AAPL,,
2025-12-11,xyz:MSFT,,
2025-12-11,xyz:INTC,,
2025-12-11,xyz:NFLX,,
2025-12-11,xyz:AMD,,
2025-12-12,xyz:XYZ100,69947911.47057481,25463.73206442167
2025-12-12,xyz:NVDA,22365876.190201975,178.86817715959
2025-12-12,xyz:GOOGL,20157454.405900937,312.048045387994
2025-12-12,xyz:TSLA,12934988.055840995,449.554831625183
2025-12-12,xyz:PLTR,5506719.318082006,185.111471449488
2025-12-12,xyz:META,4348701.366892972,648.484553440703
2025-12-12,xyz:HOOD,4319275.363116501,122.93032942899
2025-12-12,xyz:MSTR,4176210.1277798098,181.648125915081
2025-12-12,xyz:MSFT,3470381.4089149195,481.149436310395
2025-12-12,xyz:COIN,3326433.168220761,270.131976573939
2025-12-12,xyz:AAPL,1971966.4640468522,278.301376281113
2025-12-12,xyz:ORCL,1551095.2111326207,194.480153733529
2025-12-12,xyz:AMZN,1313815.8693913177,228.909677891654
2025-12-12,xyz:AMD,862949.1423691215,216.440036603221
2025-12-12,xyz:NFLX,774585.3951350717,95.014263543192
2025-12-12,xyz:INTC,526346.8785648462,38.968398243045
2025-12-13,xyz:XYZ100,66129870.18421049,25188.642657342658
2025-12-13,xyz:NVDA,20372878.983835846,175.207160839161
2025-12-13,xyz:GOOGL,18178360.71551797,308.688979020979
2025-12-13,xyz:TSLA,11974438.09688702,456.194503496503
2025-12-13,xyz:META,5425561.03689407,642.355727272727
2025-12-13,xyz:MSTR,4038690.4127393425,176.958328671329
2025-12-13,xyz:PLTR,4032323.3748775525,182.171566433566
2025-12-13,xyz:HOOD,3974719.132668182,118.909986013986
2025-12-13,xyz:COIN,3141178.8000745876,268.746979020979
2025-12-13,xyz:ORCL,3060875.9345532027,188.247055944056
2025-12-13,xyz:MSFT,2833570.9840803915,476.853727272727
